distortion,method,changed_pct,good_change_pct,bad_change_pct,edit_precision,net_gain_pct,error_reduction_pct
blur,nn,4.565402117101261,3.025635957631325,0.7618194456628072,0.7988571839023593,2.263816511968518,7.411917522398121
blur,regionfill,4.563179915853387,3.0248933732043337,0.7610157888717269,0.7989873089151425,2.2638775843326067,7.412117478235148
blur,diffusion,4.562669128808278,3.0247504083520345,0.7608311837711852,0.7990186804177538,2.2639192245808495,7.412253811760394
gaussian_noise,nn,9.01172145227861,6.639133671859298,1.0920918506147765,0.8587427248836358,5.547041821244521,27.67510960721591
gaussian_noise,regionfill,9.01105798432328,6.638926858626361,1.091833681075673,0.8587676237714956,5.547093177550687,27.67536583232615
gaussian_noise,diffusion,9.010314011888013,6.6387686256830385,1.0916601800413293,0.8587840070096814,5.547108445641709,27.675442007358924
brightness_shift,nn,2.1408931111483716,1.4851397058088702,0.3703580839267531,0.8003996092177923,1.1147816218821172,12.961180622393327
brightness_shift,regionfill,2.139305229682057,1.4846219787223884,0.3695613671770466,0.800687797140267,1.1150606115453419,12.96442433878213
brightness_shift,diffusion,2.138661193842573,1.484434597605297,0.369203261042161,0.8008223346756862,1.115231336563136,12.96640929955737
jpeg_compression,nn,7.731451767822859,3.2087461732611864,2.694798633311532,0.5435287235710865,0.5139475399496543,2.937844348368578
jpeg_compression,regionfill,7.728523070363137,3.2075982904179683,2.693872831792274,0.5435252031220049,0.5137254586256943,2.9365748795770004
jpeg_compression,diffusion,7.727608372910076,3.206848765949603,2.6938853238667466,0.5434660700071321,0.5129634420828566,2.9322190147858995
